,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Player-additional,season,PPG
0,1,Precious Achiuwa,C,23,TOR,39,896,15.0,0.546,0.249,0.339,9.4,23.6,16.0,6.3,1.3,2.7,11.3,19.2,,0.6,1.0,1.6,0.088,,-1.6,-1.0,-2.6,-0.1,achiupr01,2223,9.4
1,2,Steven Adams,C,29,MEM,42,1133,17.6,0.564,0.004,0.49,19.8,25.0,22.4,11.2,1.5,3.7,19.8,14.4,,1.3,2.2,3.5,0.146,,-0.3,0.9,0.6,0.8,adamsst01,2223,8.6
2,3,Bam Adebayo,C,25,MIA,57,1997,20.7,0.587,0.013,0.353,8.2,24.8,16.1,16.3,1.7,2.3,12.3,26.0,,2.8,3.3,6.0,0.145,,0.9,1.0,1.9,2.0,adebaba01,2223,21.1
3,4,Ochai Agbaji,SG,22,UTA,40,629,9.3,0.612,0.624,0.14,4.7,7.4,6.1,4.9,0.5,0.8,7.7,12.0,,0.8,0.2,1.0,0.076,,-1.2,-1.2,-2.4,-0.1,agbajoc01,2223,5.6
4,5,Santi Aldama,PF,22,MEM,57,1247,14.6,0.596,0.529,0.268,5.0,17.1,11.0,7.4,1.5,2.8,8.4,16.0,,1.8,2.0,3.8,0.145,,0.0,1.3,1.3,1.0,aldamsa01,2223,9.3
5,6,Nickeil Alexander-Walker,SG,24,TOT,41,597,12.9,0.596,0.503,0.201,1.9,10.5,6.2,18.7,2.1,2.4,18.4,18.7,,0.3,0.6,0.9,0.069,,-0.7,0.9,0.2,0.3,alexani01,2223,7.7
6,6,Nickeil Alexander-Walker,SG,24,UTA,36,528,13.2,0.609,0.512,0.229,1.7,10.4,6.1,20.1,2.2,2.2,19.4,18.4,,0.4,0.5,0.9,0.078,,-0.5,1.0,0.5,0.3,alexani01,2223,7.7
7,6,Nickeil Alexander-Walker,SG,24,MIN,5,69,10.3,0.51,0.448,0.034,3.3,11.1,7.3,8.1,1.4,3.9,12.0,20.6,,-0.1,0.1,0.0,0.0,,-1.8,-0.1,-2.0,0.0,alexani01,2223,7.7
8,7,Grayson Allen,SG,27,MIL,57,1573,12.4,0.613,0.639,0.243,3.3,9.0,6.3,11.6,1.4,0.5,11.5,14.7,,2.3,1.9,4.2,0.129,,-0.6,0.7,0.2,0.8,allengr01,2223,10.8
9,8,Jarrett Allen,C,24,CLE,57,1890,20.2,0.679,0.017,0.355,11.6,23.6,17.7,7.5,1.2,3.3,11.9,16.7,,4.8,3.3,8.1,0.207,,1.5,0.9,2.4,2.1,allenja01,2223,14.4
